Parent ID,Item Type,Parent Document
MASTER-6201,User Requirement,URSCIC
MASTER-6271,User Requirement,URSCIC
MASTER-6311,User Requirement,URSCIC
MASTER-6312,User Requirement,URSCIC
MASTER-6384,User Requirement,URSCIC
MASTER-6403,User Requirement,URSCIC
MASTER-6492,User Requirement,URSCIC
MASTER-6567,User Requirement,URSCIC
MASTER-6579,User Requirement,URSCIC
MASTER-6684,User Requirement,URSCIC
MASTER-6707,User Requirement,URSCIC
MASTER-41911,User Requirement,URSCIC
MASTER-41916,User Requirement,URSCIC
MASTER-41917,User Requirement,URSCIC
MASTER-41918,User Requirement,URSCIC
MASTER-41919,User Requirement,URSCIC
MASTER-61595,User Requirement,URSCIC
UTICA-2312,User Requirement,URSCIC
MASTER-6492,User Requirement,URSFitting
MASTER-6603,User Requirement,URSFitting
MASTER-6604,User Requirement,URSFitting
MASTER-6605,User Requirement,URSFitting
MASTER-6606,User Requirement,URSFitting
MASTER-6607,User Requirement,URSFitting
MASTER-6626,User Requirement,URSFitting
MASTER-41911,User Requirement,URSFitting
MASTER-61605,User Requirement,URSFitting
UTICA-9391,User Requirement,URSPPBTE
MASTER-6311,User Requirement,URSPPBTE
MASTER-6312,User Requirement,URSPPBTE
MASTER-6456,User Requirement,URSPPBTE
MASTER-6492,User Requirement,URSPPBTE
MASTER-6567,User Requirement,URSPPBTE
MASTER-6579,User Requirement,URSPPBTE
MASTER-6707,User Requirement,URSPPBTE
MASTER-41911,User Requirement,URSPPBTE
MASTER-41916,User Requirement,URSPPBTE
MASTER-41917,User Requirement,URSPPBTE
MASTER-41918,User Requirement,URSPPBTE
MASTER-41919,User Requirement,URSPPBTE
MASTER-61595,User Requirement,URSPPBTE
UTICA-222,User Requirement,URSPPBTE
UTICA-224,User Requirement,URSPPBTE
UTICA-225,User Requirement,URSPPBTE
UTICA-239,User Requirement,URSPPBTE
UTICA-243,User Requirement,URSPPBTE
UTICA-255,User Requirement,URSPPBTE
UTICA-256,User Requirement,URSPPBTE
UTICA-355,User Requirement,URSPPBTE
UTICA-356,User Requirement,URSPPBTE
UTICA-357,User Requirement,URSPPBTE
UTICA-358,User Requirement,URSPPBTE
UTICA-363,User Requirement,URSPPBTE
MASTER-64980,User Requirement,URSThrive
MASTER-64981,User Requirement,URSThrive
MASTER-64982,User Requirement,URSThrive
MASTER-64983,User Requirement,URSThrive
MASTER-64986,User Requirement,URSThrive
MASTER-64987,User Requirement,URSThrive
MASTER-64996,User Requirement,URSThrive
MASTER-65008,User Requirement,URSThrive
MASTER-65009,User Requirement,URSThrive
MASTER-65021,User Requirement,URSThrive
MASTER-65023,User Requirement,URSThrive
MASTER-65030,User Requirement,URSThrive
MASTER-65032,User Requirement,URSThrive
MASTER-65034,User Requirement,URSThrive
MASTER-65044,User Requirement,URSThrive
MASTER-65050,User Requirement,URSThrive
MASTER-65051,User Requirement,URSThrive
MASTER-65054,User Requirement,URSThrive
MASTER-65058,User Requirement,URSThrive
MASTER-65062,User Requirement,URSThrive
MASTER-65066,User Requirement,URSThrive
MASTER-65067,User Requirement,URSThrive
MASTER-65069,User Requirement,URSThrive
MASTER-65118,User Requirement,URSThrive
MASTER-65119,User Requirement,URSThrive
MASTER-65120,User Requirement,URSThrive
GENESIS-19959,User Requirement,URSThrive
GENESIS-19960,User Requirement,URSThrive
UTICA-26260,User Requirement,URSThrive
